direction,directionCount,zeroTwelve,twelveTwentyfive,twentyfiveThirtyeight,thirtyeightPlus,maxSpeed
North,5,4,1,0,0,9.21
NNE,1,1,0,0,0,12.06
NE,1,0,1,0,0,11.84
NEE,0,0,0,0,0,12.71
E,0,0,0,0,0,11.62
SEE,1,0,1,0,0,11.62
SE,0,0,0,0,0,11.18
SSE,0,0,0,0,0,9.21
South,1,0,1,0,0,12.28
SSW,0,0,0,0,0,12.06
SW,3,1,2,0,0,14.69
SWW,2,0,2,0,0,10.74
W,2,1,1,0,0,14.25
NWW,3,2,1,0,0,11.84
NW,2,0,2,0,0,10.52
NNW,4,2,2,0,0,10.96
,,,,,,13.59
,,,,,,11.84
,,,,,,12.28
,,,,,,13.37
,,,,,,14.25
,,,,,,9.21
,,,,,,10.74
,,,,,,13.59
,,,,,,11.4
